epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2443,0.77769,2.49507,0.9851,0.68757,0.63419,0.67739,0.55407,0.73599,1.32233,0.93732,0.000405983,0.000405983,0.000405983
2,19.2418,0.73122,0.8411,0.95353,0.66054,0.41258,0.47651,0.37434,0.9251,3.42469,1.23337,0.000806361,0.000806361,0.000806361
3,28.0822,0.82639,0.78011,1.01121,0.66726,0.6473,0.62182,0.4736,0.85824,1.18727,1.21114,0.00119024,0.00119024,0.00119024
4,37.9952,0.76547,0.70866,0.98973,0.7553,0.67067,0.7242,0.5263,0.88226,1.13882,1.21052,0.00117575,0.00117575,0.00117575
5,48.4321,0.76502,0.63923,0.98426,0.83764,0.68639,0.74309,0.56704,0.80786,0.97225,1.1062,0.001151,0.001151,0.001151
6,58.9962,0.75554,0.63875,0.98263,0.67305,0.68904,0.71563,0.5583,0.76212,1.50334,1.06951,0.00112625,0.00112625,0.00112625
7,69.6593,0.76939,0.6392,0.9907,0.8954,0.68104,0.77037,0.59057,0.83742,0.83471,1.11216,0.0011015,0.0011015,0.0011015
8,80.6425,0.74069,0.59757,0.97693,0.83308,0.76305,0.8291,0.6558,0.80004,0.82428,1.07763,0.00107675,0.00107675,0.00107675
9,91.0747,0.71389,0.55271,0.95773,0.87423,0.82503,0.86151,0.67653,0.78482,0.5953,1.04575,0.001052,0.001052,0.001052
10,101.545,0.71825,0.54505,0.98425,0.83557,0.76771,0.8218,0.63577,0.75689,0.61678,1.06988,0.00102725,0.00102725,0.00102725
11,112.296,0.69664,0.51604,0.95262,0.82429,0.84253,0.8466,0.65199,0.74265,0.58816,1.0364,0.0010025,0.0010025,0.0010025
12,122.942,0.67178,0.48306,0.94367,0.82935,0.87093,0.89119,0.68765,0.71739,0.56726,1.02003,0.00097775,0.00097775,0.00097775
13,133.345,0.66634,0.50136,0.94865,0.86333,0.84404,0.88061,0.6996,0.74541,0.60389,1.0236,0.000953,0.000953,0.000953
14,143.493,0.68027,0.50862,0.95646,0.81837,0.83079,0.86042,0.68992,0.71956,0.59318,1.01183,0.00092825,0.00092825,0.00092825
15,153.885,0.67104,0.49774,0.94475,0.87197,0.84586,0.86658,0.68982,0.70507,0.54971,1.02854,0.0009035,0.0009035,0.0009035
16,164.603,0.63737,0.45138,0.94335,0.87555,0.8314,0.88275,0.67763,0.72298,0.55208,1.02643,0.00087875,0.00087875,0.00087875
17,175.278,0.66756,0.47235,0.94669,0.85925,0.83814,0.90555,0.72286,0.68122,0.51792,0.99735,0.000854,0.000854,0.000854
18,185.973,0.65502,0.47353,0.93391,0.86621,0.85681,0.89517,0.7215,0.67851,0.49316,0.99382,0.00082925,0.00082925,0.00082925
19,196.615,0.6347,0.43646,0.92121,0.80886,0.79773,0.85374,0.68617,0.69369,0.52759,0.99025,0.0008045,0.0008045,0.0008045
20,207.153,0.63288,0.42897,0.92609,0.86851,0.90401,0.92082,0.73038,0.67399,0.47427,0.98324,0.00077975,0.00077975,0.00077975
21,217.912,0.62041,0.42364,0.9188,0.87137,0.88304,0.90749,0.72091,0.68064,0.46657,0.98288,0.000755,0.000755,0.000755
22,228.258,0.59824,0.40733,0.92143,0.88757,0.82314,0.88303,0.72998,0.69721,0.4969,0.97548,0.00073025,0.00073025,0.00073025
23,238.748,0.61887,0.42254,0.92421,0.94361,0.85928,0.93448,0.73944,0.67802,0.46909,0.97419,0.0007055,0.0007055,0.0007055
24,249.453,0.58074,0.39484,0.91311,0.9371,0.89973,0.93035,0.73934,0.68811,0.45286,0.98423,0.00068075,0.00068075,0.00068075
25,260.248,0.59033,0.38524,0.91203,0.87868,0.87187,0.89539,0.73399,0.64905,0.45998,0.97722,0.000656,0.000656,0.000656
26,270.933,0.59511,0.39392,0.90439,0.96137,0.88974,0.94306,0.76601,0.63805,0.45547,0.95907,0.00063125,0.00063125,0.00063125
27,281.779,0.57945,0.3836,0.91373,0.92212,0.86992,0.91488,0.75329,0.64588,0.4366,0.96457,0.0006065,0.0006065,0.0006065
28,292.267,0.59228,0.39403,0.91536,0.92413,0.86792,0.92593,0.75679,0.63628,0.43549,0.96351,0.00058175,0.00058175,0.00058175
29,302.87,0.57872,0.38004,0.89767,0.85423,0.94329,0.92165,0.73259,0.67796,0.44026,0.97047,0.000557,0.000557,0.000557
30,313.488,0.57121,0.36458,0.90741,0.89292,0.90377,0.90707,0.75071,0.63351,0.42144,0.95636,0.00053225,0.00053225,0.00053225
31,324.194,0.57387,0.35787,0.90996,0.93189,0.8754,0.91894,0.76471,0.63395,0.38913,0.95515,0.0005075,0.0005075,0.0005075
32,334.631,0.57125,0.36072,0.90377,0.89888,0.89512,0.92456,0.75934,0.62675,0.38621,0.94116,0.00048275,0.00048275,0.00048275
33,345.41,0.53317,0.34327,0.88584,0.87751,0.89865,0.91521,0.76247,0.62561,0.40559,0.93551,0.000458,0.000458,0.000458
34,356.063,0.54201,0.35033,0.89415,0.88738,0.86732,0.90993,0.75322,0.61697,0.43071,0.93618,0.00043325,0.00043325,0.00043325
35,366.851,0.54145,0.34245,0.89546,0.92535,0.83032,0.91708,0.76856,0.59356,0.4055,0.92339,0.0004085,0.0004085,0.0004085
36,377.456,0.53641,0.33364,0.89192,0.92046,0.88786,0.93309,0.78442,0.60372,0.38322,0.91286,0.00038375,0.00038375,0.00038375
37,388.018,0.53195,0.34037,0.89566,0.9207,0.88417,0.91103,0.76639,0.60769,0.39626,0.94152,0.000359,0.000359,0.000359
38,398.359,0.53382,0.3329,0.8824,0.94058,0.87026,0.92607,0.77963,0.61305,0.37732,0.93685,0.00033425,0.00033425,0.00033425
39,408.957,0.52092,0.33006,0.88448,0.95964,0.8912,0.93678,0.7851,0.58855,0.36104,0.92748,0.0003095,0.0003095,0.0003095
40,419.452,0.50349,0.30584,0.8664,0.90139,0.92497,0.93811,0.78105,0.61192,0.36105,0.94234,0.00028475,0.00028475,0.00028475
41,451.39,0.49588,0.28349,0.86408,0.89919,0.92934,0.93911,0.7789,0.59675,0.36009,0.91414,0.00026,0.00026,0.00026
42,461.924,0.48763,0.27498,0.85776,0.90139,0.92092,0.93066,0.78101,0.58492,0.35223,0.92146,0.00023525,0.00023525,0.00023525
43,471.438,0.47419,0.27008,0.84992,0.911,0.90065,0.92279,0.77516,0.60258,0.35502,0.93766,0.0002105,0.0002105,0.0002105
44,479.986,0.4856,0.27663,0.86226,0.95447,0.87063,0.92752,0.78694,0.59816,0.35585,0.92616,0.00018575,0.00018575,0.00018575
