epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3171,0.80639,3.96976,1.02181,0.76726,0.84819,0.85367,0.69486,0.63801,1.98402,0.89106,0.0002375,0.0002375,0.0002375
2,22.8751,0.70587,0.87986,0.93694,0.66012,0.54542,0.58566,0.4601,0.73174,1.07716,0.97997,0.000477848,0.000477848,0.000477848
3,31.1486,0.7538,0.75549,0.95309,0.70174,0.40314,0.45152,0.3078,0.85842,1.86823,1.10905,0.000708295,0.000708295,0.000708295
4,39.2682,0.75054,0.69189,0.96578,0.61234,0.46923,0.52989,0.42949,0.75945,1.60912,1.0288,0.000928842,0.000928842,0.000928842
5,47.3867,0.73718,0.64259,0.95849,0.78457,0.63205,0.67301,0.4791,0.82633,1.0781,1.10026,0.00113949,0.00113949,0.00113949
6,55.5272,0.75023,0.64994,0.9698,0.62437,0.62505,0.6034,0.46985,0.75999,1.17121,1.00964,0.00112625,0.00112625,0.00112625
7,63.6561,0.74368,0.64555,0.9785,0.56201,0.66321,0.54047,0.36935,0.81676,4.03226,1.13311,0.0011015,0.0011015,0.0011015
8,71.7812,0.7524,0.62524,0.97366,0.53094,0.40762,0.45879,0.32013,0.98793,3.62513,1.1955,0.00107675,0.00107675,0.00107675
9,79.9089,0.69981,0.5528,0.94265,0.79806,0.61904,0.74683,0.57987,0.74222,1.07945,0.99579,0.001052,0.001052,0.001052
10,88.0324,0.71085,0.54412,0.96529,0.82814,0.71023,0.8029,0.62745,0.69534,0.76996,0.97167,0.00102725,0.00102725,0.00102725
11,96.3691,0.73854,0.5518,0.94919,0.88803,0.76258,0.80685,0.65207,0.7297,0.68268,0.95777,0.0010025,0.0010025,0.0010025
12,104.636,0.6821,0.52018,0.93222,0.85616,0.79805,0.84364,0.66899,0.68266,0.62519,0.94753,0.00097775,0.00097775,0.00097775
13,112.86,0.6787,0.50146,0.93535,0.87997,0.79864,0.84949,0.69417,0.66475,0.5395,0.93313,0.000953,0.000953,0.000953
14,121.09,0.66194,0.47056,0.92426,0.90634,0.82253,0.84631,0.68861,0.65718,0.6184,0.95251,0.00092825,0.00092825,0.00092825
15,129.285,0.64545,0.47855,0.91928,0.87264,0.74322,0.80821,0.66442,0.64346,0.56237,0.93119,0.0009035,0.0009035,0.0009035
16,137.596,0.63827,0.47112,0.92153,0.92678,0.73907,0.8172,0.68682,0.64574,0.50194,0.9434,0.00087875,0.00087875,0.00087875
17,145.891,0.65522,0.46945,0.93342,0.92148,0.82762,0.87355,0.71651,0.6138,0.49156,0.90998,0.000854,0.000854,0.000854
18,154.097,0.6116,0.45235,0.90254,0.86858,0.83155,0.87508,0.73068,0.62873,0.4725,0.9221,0.00082925,0.00082925,0.00082925
19,162.228,0.62146,0.43156,0.9087,0.95032,0.79711,0.89416,0.71818,0.63799,0.4547,0.91484,0.0008045,0.0008045,0.0008045
20,170.338,0.63377,0.4524,0.91021,0.91893,0.85495,0.90058,0.72727,0.59745,0.42647,0.90436,0.00077975,0.00077975,0.00077975
21,178.489,0.60123,0.41434,0.91011,0.96087,0.85136,0.90249,0.71628,0.61355,0.4551,0.92192,0.000755,0.000755,0.000755
22,186.661,0.61985,0.43525,0.90884,0.93374,0.81815,0.86986,0.72294,0.61815,0.43382,0.91875,0.00073025,0.00073025,0.00073025
23,194.813,0.5918,0.40639,0.90118,0.96845,0.83001,0.90541,0.74742,0.60503,0.40113,0.90836,0.0007055,0.0007055,0.0007055
24,203.049,0.5989,0.41059,0.90406,0.95255,0.81298,0.88651,0.73416,0.59885,0.42183,0.90737,0.00068075,0.00068075,0.00068075
25,211.229,0.60122,0.40167,0.89114,0.89736,0.85365,0.89237,0.75036,0.56981,0.39342,0.88497,0.000656,0.000656,0.000656
